Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000165061.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165066.13,0,0,2,7,1,0,0,0,0,1,0,0
ENSG00000165071.14,0,0,0,2,0,2,2,0,0,3,2,1
ENSG00000165072.10,0,0,0,1,2,0,0,0,0,0,0,0
ENSG00000165076.13,0,2,0,0,1,0,0,0,0,0,0,0
ENSG00000165078.13,1,0,2,5,0,2,0,0,0,0,0,0
ENSG00000165084.16,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000165091.17,0,3,3,3,7,3,6,5,4,6,9,15
ENSG00000165092.13,4,5,8,31,19,19,29,7,15,64,131,98
ENSG00000165097.16,768,641,639,582,1005,645,499,346,382,513,618,637
ENSG00000165102.15,2076,1964,1633,1684,3069,1574,921,730,810,1313,1870,1493
ENSG00000165105.10,3715,2987,2620,1353,2560,1483,2016,1312,1572,1678,1859,2217
ENSG00000165113.13,394,355,289,123,195,156,102,82,58,120,217,193
ENSG00000165115.15,188,190,177,78,172,83,109,61,81,119,173,170
ENSG00000165118.15,136,152,148,212,402,265,271,224,189,269,381,387
ENSG00000165119.21,45280,35984,38283,25449,42169,29741,27196,22053,18227,26400,31082,40747
ENSG00000165120.5,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000165121.11,208,171,126,68,133,66,67,53,39,71,114,109
ENSG00000165124.18,33,36,24,5,9,0,1,0,3,5,7,0
ENSG00000165125.20,1,3,2,0,0,0,6,5,5,15,8,8
ENSG00000165131.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165138.18,2520,1930,2187,981,1632,1157,1184,987,913,1556,1560,1911
ENSG00000165140.10,94,70,98,2390,4368,3449,1804,1836,1556,1497,2194,2176
ENSG00000165152.9,1336,1179,1244,894,1633,979,692,642,538,947,1219,1145
ENSG00000165156.15,3103,2931,2552,2395,4515,2419,2561,1793,1681,2044,2583,2998
ENSG00000165164.14,0,0,0,0,0,1,0,0,1,1,0,0
ENSG00000165168.7,12,13,20,30,76,31,31,25,15,14,10,26
ENSG00000165169.11,4838,4555,4194,2466,4867,2836,1937,1729,1622,1660,2580,2335
ENSG00000165171.11,472,383,429,180,326,248,75,84,82,232,273,252
ENSG00000165175.15,1899,1676,1809,1287,2314,1825,1265,1221,928,1706,1865,2327
ENSG00000165178.9,1,1,0,0,0,0,0,0,0,4,0,1
ENSG00000165181.16,4,8,6,1,3,0,2,2,2,0,4,6
ENSG00000165182.11,5,7,5,3,2,3,1,1,0,0,3,2
ENSG00000165185.14,1008,973,726,374,619,345,476,274,315,420,677,531
ENSG00000165186.12,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000165188.13,0,1,0,7,1,0,0,1,1,1,0,0
ENSG00000165192.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165194.15,0,2,0,0,2,0,0,0,0,0,0,0
ENSG00000165195.15,1205,982,920,584,1017,572,529,406,410,562,685,800
ENSG00000165197.5,2,2,7,1,2,2,4,2,3,2,2,3
ENSG00000165202.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165204.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165209.19,3865,3056,3006,1417,2375,1520,1980,1589,1388,1793,2074,2567
ENSG00000165215.6,1097,940,1077,272,412,341,322,355,290,780,1020,897
ENSG00000165219.22,4301,3578,3213,2481,4099,2595,2888,1762,2053,2568,3078,3433
ENSG00000165233.18,1385,1302,1435,669,1234,1017,627,601,434,839,883,1057
